time,name,avg_value,sample_count
2025-09-26 20:15:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,552.7240173339844,5
2025-09-26 20:20:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,447.1023315429687,5
2025-09-26 20:25:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,475.5467163085938,5
2025-09-26 20:30:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,577.2367553710938,5
2025-09-26 20:35:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,557.9829345703125,5
2025-09-26 20:40:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,582.6928588867188,5
2025-09-26 20:45:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,496.80634765625,5
2025-09-26 20:50:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,593.0742126464844,5
2025-09-26 20:55:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,590.4367065429688,5
2025-09-26 21:00:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,503.1296081542969,5
2025-09-26 21:05:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,506.791552734375,5
2025-09-26 21:10:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,519.0814392089844,5
2025-09-26 21:15:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,557.0806884765625,5
2025-09-26 21:20:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,567.9834228515625,5
2025-09-26 21:25:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,502.5841430664062,5
2025-09-26 21:30:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,631.9994262695312,5
2025-09-26 21:35:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,558.8658386230469,5
2025-09-26 21:40:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,565.2774353027344,5
2025-09-26 21:45:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,563.6104858398437,5
2025-09-26 21:50:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,591.7657592773437,5
2025-09-26 21:55:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,630.1293823242188,5
2025-09-26 22:00:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,516.0086730957031,5
2025-09-26 22:05:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,611.7386108398438,5
2025-09-26 22:10:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,547.245556640625,5
2025-09-26 22:15:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,561.3546936035157,5
2025-09-26 22:20:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,604.2308288574219,5
2025-09-26 22:25:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,558.3503662109375,5
2025-09-26 22:30:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,581.7980041503906,5
2025-09-26 22:35:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,484.20488891601565,5
2025-09-26 22:40:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,573.0416870117188,5
2025-09-26 22:45:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,627.3528503417969,5
2025-09-26 22:50:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,608.92333984375,5
2025-09-26 22:55:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,628.0210693359375,5
2025-09-26 23:00:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,596.1520812988281,5
2025-09-26 23:05:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,628.825341796875,5
2025-09-26 23:10:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,670.7487426757813,5
2025-09-26 23:15:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,559.3800537109375,5
2025-09-26 23:20:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,608.1606079101563,5
2025-09-26 23:25:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,662.4713623046875,5
2025-09-26 23:30:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,627.4515991210938,5
2025-09-26 23:35:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,561.8779602050781,5
2025-09-26 23:40:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,487.511865234375,5
2025-09-26 23:45:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,660.2971801757812,5
2025-09-26 23:50:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,609.650927734375,5
2025-09-26 23:55:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,626.5044189453125,5
2025-09-27 00:00:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,731.3310302734375,5
2025-09-27 00:05:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,626.2147338867187,5
2025-09-27 00:10:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,486.3034240722656,5
2025-09-27 00:15:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,633.3708129882813,5
2025-09-27 00:20:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,669.5482788085938,5
2025-09-27 00:25:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,592.1815307617187,5
2025-09-27 00:30:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,601.1762268066407,5
2025-09-27 00:35:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,575.0933532714844,5
2025-09-27 00:40:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,562.8828125,5
2025-09-27 00:45:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,534.0912780761719,5
2025-09-27 00:50:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,511.0666870117187,5
2025-09-27 00:55:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,617.8274841308594,5
2025-09-27 01:00:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,576.2942749023438,5
2025-09-27 01:05:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,652.6830078125,5
2025-09-27 01:10:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,588.4121948242188,5
2025-09-27 01:15:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,563.2681213378906,5
2025-09-27 01:20:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,574.5314331054688,5
2025-09-27 01:25:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,635.8270385742187,5
2025-09-27 01:30:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,560.6348815917969,5
2025-09-27 01:35:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,601.2003051757813,5
2025-09-27 01:40:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,553.6168823242188,5
2025-09-27 01:45:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,605.606005859375,5
2025-09-27 01:50:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,581.6777954101562,5
2025-09-27 01:55:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,593.079541015625,5
2025-09-27 02:00:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,563.0909240722656,5
2025-09-27 02:05:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,569.0376892089844,5
2025-09-27 02:10:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,605.7888061523438,5
2025-09-27 02:15:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,588.4091369628907,5
2025-09-27 02:20:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,607.29677734375,5
2025-09-27 02:25:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,588.7773803710937,5
2025-09-27 02:30:00,NAEAZ-01/FCB-2.AHUAZ-1.OA-CFM,561.1796936035156,5
